track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,spotify_search_link,youtube_search_url,youtube_url
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,A#,Minor,84,72,74,10,0,34,7,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,https://open.spotify.com/search/About%20Damn%20Time%20Lizzo,https://www.youtube.com/results?search_query=About+Damn+Time+Lizzo,https://www.youtube.com/watch?v=IXXxciRUMzE
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,https://open.spotify.com/search/Born%20With%20A%20Beer%20In%20My%20Hand%20Morgan%20Wallen,https://www.youtube.com/results?search_query=Born+With+A+Beer+In+My+Hand+Morgan+Wallen,https://www.youtube.com/watch?v=kEDD09hJQvM
Yasashisa,Fujii Kaze,1,2020,5,20,685,14,403097450,24,94,9,0,23,158,F#,Minor,60,52,76,17,0,19,5,https://i.scdn.co/image/ab67616d0000b27322805a1b17e41ae357bd98bc,https://open.spotify.com/search/%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%C3%BD%20Fujii%20Kaze,https://www.youtube.com/results?search_query=Yasashisa+Fujii+Kaze,https://www.youtube.com/watch?v=vzhTpIIQR5I
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://open.spotify.com/search/Moscow%20Mule%20Bad%20Bunny,https://www.youtube.com/results?search_query=Moscow+Mule+Bad+Bunny,https://www.youtube.com/watch?v=p38WgakuYDo
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512,0,0,0,0,0,105,A,Major,58,42,68,1,0,14,4,https://i.scdn.co/image/ab67616d0000b273f60a9b7e2abafc38da31f575,https://open.spotify.com/search/My%20Universe%20Coldplay%2C%20BTS,https://www.youtube.com/results?search_query=My+Universe+Coldplay%2C+BTS,https://www.youtube.com/watch?v=3YqPKLZF_WU
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664,86,1,49,0,9,115,,Major,70,84,90,17,0,41,6,https://i.scdn.co/image/ab67616d0000b27350a1691fbbfb693a5171d600,https://open.spotify.com/search/I%27m%20Not%20Here%20To%20Make%20Friends%20Sam%20Smith%2C%20Calvin%20Harris%2C%20Jessie%20Reyez,https://www.youtube.com/results?search_query=I%27m+Not+Here+To+Make+Friends+Sam+Smith%2C+Calvin+Harris%2C+Jessie+Reyez,https://www.youtube.com/watch?v=Ju2SnfJTLhE
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,451,122,G#,Major,64,25,89,0,0,15,9,https://i.scdn.co/image/ab67616d0000b27302f93e92bdd5b3793eb688c0,https://open.spotify.com/search/TRUSTFALL%20P%21nk,https://www.youtube.com/results?search_query=TRUSTFALL+P%21nk,https://www.youtube.com/watch?v=D2KE2a5qo0g
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721,23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8,https://i.scdn.co/image/ab67616d0000b273a991995542d50a691b9ae5be,https://open.spotify.com/search/ANTIFRAGILE%20LE%20SSERAFIM,https://www.youtube.com/results?search_query=ANTIFRAGILE+LE+SSERAFIM,https://www.youtube.com/watch?v=pyf8cbqyfPs
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,27,0,28,13,0,133,F,Major,66,74,84,25,0,21,4,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,https://open.spotify.com/search/Boy%27s%20a%20liar%20PinkPantheress,https://www.youtube.com/results?search_query=Boy%27s+a+liar+PinkPantheress,https://www.youtube.com/watch?v=oftolPu9qp4
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295,15,40,21,1,15,100,,Major,79,60,68,7,0,26,4,https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328,https://open.spotify.com/search/VIBE%20%28feat.%20Jimin%20of%20BTS%29%20TAEYANG%2C%20Jimin,https://www.youtube.com/results?search_query=VIBE+%28feat.+Jimin+of+BTS%29+TAEYANG%2C+Jimin,https://www.youtube.com/watch?v=cXCBiF67jLM
Shirt,SZA,1,2022,10,28,3469,0,309653982,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,https://open.spotify.com/search/Shirt%20SZA,https://www.youtube.com/results?search_query=Shirt+SZA,https://www.youtube.com/watch?v=p9rllutpWq4
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960,129,31,212,1,41,177,A,Major,25,17,30,90,0,13,3,https://i.scdn.co/image/ab67616d0000b273a790c56cff6e3463bf9935cb,https://open.spotify.com/search/Lift%20Me%20Up%20-%20From%20Black%20Panther%3A%20Wakanda%20Forever%20-%20Music%20From%20and%20Inspired%20By%20Rihanna,https://www.youtube.com/results?search_query=Lift+Me+Up+-+From+Black+Panther%3A+Wakanda+Forever+-+Music+From+and+Inspired+By+Rihanna,https://www.youtube.com/watch?v=Mx_OexsUI2M
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354,113,17,208,0,192,142,D,Minor,64,31,72,15,0,9,5,https://i.scdn.co/image/ab67616d0000b27304cd9a1664fb4539a55643fe,https://open.spotify.com/search/STAR%20WALKIN%27%20%28League%20of%20Legends%20Worlds%20Anthem%29%20Lil%20Nas%20X,https://www.youtube.com/results?search_query=STAR+WALKIN%27+%28League+of+Legends+Worlds+Anthem%29+Lil+Nas+X,https://www.youtube.com/watch?v=HYsz1hP0BFo
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035,47,60,87,12,124,144,E,Minor,57,47,84,1,1,52,4,https://i.scdn.co/image/ab67616d0000b273a03e3d24ccee1c370899c342,https://open.spotify.com/search/Sex%2C%20Drugs%2C%20Etc.%20Beach%20Weather,https://www.youtube.com/results?search_query=Sex%2C+Drugs%2C+Etc.+Beach+Weather,https://www.youtube.com/watch?v=FgS1b2nU8AQ
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,1065580332,113,92,259,0,1,120,B,Minor,65,80,86,9,0,19,10,https://i.scdn.co/image/ab67616d0000b27346d3e73ccbfde4ee771b7e76,https://open.spotify.com/search/Boy%20With%20Luv%20%28feat.%20Halsey%29%20Halsey%2C%20BTS,https://www.youtube.com/results?search_query=Boy+With+Luv+%28feat.+Halsey%29+Halsey%2C+BTS,https://www.youtube.com/watch?v=XsX3ATc3FbA
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,9,1,12,4,3,135,D,Major,92,73,51,55,0,15,6,https://i.scdn.co/image/ab67616d0000b2732571034f34b381958f8cc727,https://open.spotify.com/search/Hey%2C%20Mickey%21%20Baby%20Tate,https://www.youtube.com/results?search_query=Hey%2C+Mickey%21+Baby+Tate,https://www.youtube.com/watch?v=3aJsrdAvI4A
Calm Down,Rema & Selena Gomez,1,2022,2,9,4013,10,445763624,107,44,750,22,,107,B,Major,81,82,78,38,0,12,4,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf,https://open.spotify.com/search/Calm%20Down%20R%C3%AF%C2%BF%C2%BD%C3%AF,https://www.youtube.com/results?search_query=Calm+Down+Rema+%26+Selena+Gomez,https://www.youtube.com/watch?v=WcIcVapfqXw
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7,https://i.scdn.co/image/ab67616d0000b2737d46ff19532fdba734bfd4e0,https://open.spotify.com/search/Jhoome%20Jo%20Pathaan%20Arijit%20Singh%2C%20Vishal%20Dadlani%2C%20Sukriti%20Kakar%2C%20Vishal-Shekhar%2C%20Shekhar%20Ravjiani%2C%20Kumaar,https://www.youtube.com/results?search_query=Jhoome+Jo+Pathaan+Arijit+Singh%2C+Vishal+Dadlani%2C+Sukriti+Kakar%2C+Vishal-Shekhar%2C+Shekhar+Ravjiani%2C+Kumaar,https://www.youtube.com/watch?v=YxWlaYCA8MU
Space Song,Beach House,1,2015,1,1,17852,4,789753877,69,76,335,0,,147,,Minor,51,62,79,22,13,14,3,https://i.scdn.co/image/ab67616d0000b2739b7190e673e46271b2754aab,https://open.spotify.com/search/Space%20Song%20Beach%20House,https://www.youtube.com/results?search_query=Space+Song+Beach+House,https://www.youtube.com/watch?v=RBtlPT23PTM
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833,11,78,35,0,21,115,,Major,71,34,88,16,0,44,4,https://i.scdn.co/image/ab67616d0000b273cfe3ffeee2f4ec0291f9d969,https://open.spotify.com/search/Dreamers%20%5BMusic%20from%20the%20FIFA%20World%20Cup%20Qatar%202022%20Official%20Soundtrack%5D%20BTS%2C%20Jung%20Kook%2C%20FIFA%20Sound,https://www.youtube.com/results?search_query=Dreamers+%5BMusic+from+the+FIFA+World+Cup+Qatar+2022+Official+Soundtrack%5D+BTS%2C+Jung+Kook%2C+FIFA+Sound,https://www.youtube.com/watch?v=IwzkfMmNMpM
TV,Billie Eilish,1,2022,7,21,3009,2,338564981,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4,https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318,https://open.spotify.com/search/TV%20Billie%20Eilish,https://www.youtube.com/results?search_query=TV+Billie+Eilish,https://www.youtube.com/watch?v=_JGGLJMpVks
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953,136,24,"1,959",0,30,82,F,Major,68,50,49,56,0,8,4,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae,https://open.spotify.com/search/I%27m%20Not%20The%20Only%20One%20Sam%20Smith,https://www.youtube.com/results?search_query=I%27m+Not+The+Only+One+Sam+Smith,https://www.youtube.com/watch?v=nCkpzqqog4k
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,https://open.spotify.com/search/Heather%20Conan%20Gray,https://www.youtube.com/results?search_query=Heather+Conan+Gray,https://www.youtube.com/watch?v=GPUg7n8-M6o
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,1897517891,537,122,"2,726",6,,124,A,Minor,79,59,86,4,0,8,11,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,https://open.spotify.com/search/One%20Kiss%20%28with%20Dua%20Lipa%29%20Calvin%20Harris%2C%20Dua%20Lipa,https://www.youtube.com/results?search_query=One+Kiss+%28with+Dua+Lipa%29+Calvin+Harris%2C+Dua+Lipa,https://www.youtube.com/watch?v=DkeiKbqa02g
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12,56,13,0,13,125,A#,Minor,71,83,89,1,0,17,9,https://i.scdn.co/image/ab67616d0000b2733bb056e3160b85ee86c1194d,https://open.spotify.com/search/Sugar%20Rush%20Ride%20TOMORROW%20X%20TOGETHER,https://www.youtube.com/results?search_query=Sugar+Rush+Ride+TOMORROW+X+TOGETHER,https://www.youtube.com/watch?v=P9tKTxbgdkk
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895,57,119,77,1,13,90,,Major,80,71,69,2,0,27,10,https://i.scdn.co/image/ab67616d0000b273002ef53878df1b4e91c15406,https://open.spotify.com/search/Pink%20Venom%20BLACKPINK,https://www.youtube.com/results?search_query=Pink+Venom+BLACKPINK,https://www.youtube.com/watch?v=gQlMMD8auMs
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270,128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,https://open.spotify.com/search/WAIT%20FOR%20U%20%28feat.%20Drake%20%26%20Tems%29%20Drake%2C%20Future%2C%20Tems,https://www.youtube.com/results?search_query=WAIT+FOR+U+%28feat.+Drake+%26+Tems%29+Drake%2C+Future%2C+Tems,https://www.youtube.com/watch?v=rP09GUQFDFk
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,532,77,"1,535",3,8,124,B,Minor,79,68,79,1,0,10,8,https://i.scdn.co/image/ab67616d0000b27368cd91e1d8cbabf23d332041,https://open.spotify.com/search/Don%27t%20Start%20Now%20Dua%20Lipa,https://www.youtube.com/results?search_query=Don%27t+Start+Now+Dua+Lipa,https://www.youtube.com/watch?v=oygrmJFKYZY
After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885,1,9,3,0,0,140,G#,Major,58,4,60,7,41,8,3,https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176,https://open.spotify.com/search/After%20Dark%20Mr.Kitty,https://www.youtube.com/results?search_query=After+Dark+Mr.Kitty,https://www.youtube.com/watch?v=sVx1mJDeUjY
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,1814349763,300,47,690,0,,150,D#,Minor,74,89,70,2,0,5,6,https://i.scdn.co/image/ab67616d0000b273f27e4bdc58ebe249a6b90da0,https://open.spotify.com/search/INDUSTRY%20BABY%20%28feat.%20Jack%20Harlow%29%20Jack%20Harlow%2C%20Lil%20Nas%20X,https://www.youtube.com/results?search_query=INDUSTRY+BABY+%28feat.+Jack+Harlow%29+Jack+Harlow%2C+Lil+Nas+X,https://www.youtube.com/watch?v=UTHLKHL_whs
Atlantis,Seafret,1,2015,4,22,3045,6,571386359,43,53,134,1,32,166,G#,Minor,40,23,48,5,0,12,3,https://i.scdn.co/image/ab67616d0000b2738c33272a7c77042f5eb39d75,https://open.spotify.com/search/Atlantis%20Seafret,https://www.youtube.com/results?search_query=Atlantis+Seafret,https://www.youtube.com/watch?v=UrriF1AvgLY
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823,72,97,58,0,154,82,G#,Major,40,39,64,21,0,7,7,https://i.scdn.co/image/ab67616d0000b273bfedccaca3c8425fdc0a7c73,https://open.spotify.com/search/How%20Do%20I%20Say%20Goodbye%20Dean%20Lewis,https://www.youtube.com/results?search_query=How+Do+I+Say+Goodbye+Dean+Lewis,https://www.youtube.com/watch?v=QCtEe-zsCtQ
Blind,SZA,1,2022,12,9,1484,0,163284000,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,https://open.spotify.com/search/Blind%20SZA,https://www.youtube.com/results?search_query=Blind+SZA,https://www.youtube.com/watch?v=8UEM0dKbzAA
Die For You,Joji,1,2022,11,4,1703,0,246390068,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb,https://open.spotify.com/search/Die%20For%20You%20Joji,https://www.youtube.com/results?search_query=Die+For+You+Joji,https://www.youtube.com/watch?v=kIEWJ1ljEro
Doja,Central Cee,1,2022,7,20,4169,44,482257456,57,44,183,1,11,140,F#,Major,91,97,57,38,0,40,29,https://i.scdn.co/image/ab67616d0000b2733c7d945b6baf935e8a0ebdaa,https://open.spotify.com/search/Doja%20Central%20Cee,https://www.youtube.com/results?search_query=Doja+Central+Cee,https://www.youtube.com/watch?v=_VuJA-VQRcY
Gatita,Bellakath,1,2022,10,3,1054,0,168684524,9,0,15,0,1,101,G,Major,90,76,81,15,24,33,6,https://i.scdn.co/image/ab67616d0000b273070c919f062e9fbfc03ca16b,https://open.spotify.com/search/Gatita%20Bellakath,https://www.youtube.com/results?search_query=Gatita+Bellakath,https://www.youtube.com/watch?v=msVB4L2Hrfk
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,39,45,27,0,1,140,C#,Minor,81,6,84,5,23,6,6,https://i.scdn.co/image/ab67616d0000b273352f154c54727bc8024629bc,https://open.spotify.com/search/Rumble%20Skrillex%2C%20Flowdan%2C%20Fred%20again..,https://www.youtube.com/results?search_query=Rumble+Skrillex%2C+Flowdan%2C+Fred+again..,https://www.youtube.com/watch?v=7z25ZZ3DHds
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622,12,22,12,0,2,88,G,Minor,49,24,66,19,0,18,29,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,https://open.spotify.com/search/Niagara%20Falls%20%28Foot%20or%202%29%20%5Bwith%20Travis%20Scott%20%26%2021%20Savage%5D%20Travis%20Scott%2C%2021%20Savage%2C%20Metro%20Boomin,https://www.youtube.com/results?search_query=Niagara+Falls+%28Foot+or+2%29+%5Bwith+Travis+Scott+%26+21+Savage%5D+Travis+Scott%2C+21+Savage%2C+Metro+Boomin,https://www.youtube.com/watch?v=Z8vDU6vUTj4
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,0,180,C#,Major,64,44,65,28,0,14,12,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9,https://open.spotify.com/search/Yonaguni%20Bad%20Bunny,https://www.youtube.com/results?search_query=Yonaguni+Bad+Bunny,https://www.youtube.com/watch?v=doLMt10ytHY
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680,104,17,76,9,2,133,D,Major,95,91,89,6,0,31,24,https://i.scdn.co/image/ab67616d0000b273c2b3ab9829aefad24fa2c1bc,https://open.spotify.com/search/Super%20Freaky%20Girl%20Nicki%20Minaj,https://www.youtube.com/results?search_query=Super+Freaky+Girl+Nicki+Minaj,https://www.youtube.com/watch?v=j5uAR9w7LBg
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327,117,1,676,3,0,108,A#,Minor,63,20,55,72,0,6,6,https://i.scdn.co/image/ab67616d0000b273ad08f4b38efbff0c0da0f252,https://open.spotify.com/search/Running%20Up%20That%20Hill%20%28A%20Deal%20With%20God%29%20Kate%20Bush,https://www.youtube.com/results?search_query=Running+Up+That+Hill+%28A+Deal+With+God%29+Kate+Bush,https://www.youtube.com/watch?v=wp43OdtAAkM
Dream On,Aerosmith,1,1973,1,5,168,0,838586769,0,0,5,0,0,80,F,Minor,39,24,43,39,0,23,3,https://i.scdn.co/image/ab67616d0000b273bbf0146981704a073405b6c2,https://open.spotify.com/search/Dream%20On%20Aerosmith,https://www.youtube.com/results?search_query=Dream+On+Aerosmith,https://www.youtube.com/watch?v=89dGC8de0CA
Limbo,Freddie Dredd,1,2022,8,11,688,0,199386237,14,1,17,0,2,75,B,Minor,80,46,62,3,6,11,46,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,https://open.spotify.com/search/Limbo%20Freddie%20Dredd,https://www.youtube.com/results?search_query=Limbo+Freddie+Dredd,https://www.youtube.com/watch?v=glkSGJU-yLw
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632,238,122,557,17,58,121,F#,Minor,67,26,64,52,0,17,10,https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b,https://open.spotify.com/search/Where%20Are%20You%20Now%20Lost%20Frequencies%2C%20Calum%20Scott,https://www.youtube.com/results?search_query=Where+Are+You+Now+Lost+Frequencies%2C+Calum+Scott,https://www.youtube.com/watch?v=PoP2Sa7wYNQ
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105,344,97,945,15,,126,B,Minor,81,59,90,5,0,36,3,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://open.spotify.com/search/Bad%20Habits%20Ed%20Sheeran,https://www.youtube.com/results?search_query=Bad+Habits+Ed+Sheeran,https://www.youtube.com/watch?v=orJSJGHjBLI
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833,38,101,26,0,0,102,C#,Major,58,29,94,0,0,9,11,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,https://open.spotify.com/search/KICK%20BACK%20Kenshi%20Yonezu,https://www.youtube.com/results?search_query=KICK+BACK+Kenshi+Yonezu,https://www.youtube.com/watch?v=M2cckDmNLMI
Good Days,SZA,1,2020,12,24,10426,2,826623384,133,109,182,1,10,121,C#,Minor,46,53,78,23,0,72,6,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,https://open.spotify.com/search/Good%20Days%20SZA,https://www.youtube.com/results?search_query=Good+Days+SZA,https://www.youtube.com/watch?v=0BdlKkvjEgA
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,https://open.spotify.com/search/Levitating%20%28feat.%20DaBaby%29%20Dua%20Lipa%2C%20DaBaby,https://www.youtube.com/results?search_query=Levitating+%28feat.+DaBaby%29+Dua+Lipa%2C+DaBaby,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Woman,Doja Cat,1,2021,6,25,9424,0,1329090101,202,50,463,4,,108,F,Minor,82,88,76,9,0,12,9,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a,https://open.spotify.com/search/Woman%20Doja%20Cat,https://www.youtube.com/results?search_query=Woman+Doja+Cat,https://www.youtube.com/watch?v=yxW5yuzVi8w
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,https://i.scdn.co/image/ab67616d0000b2737dca066ca62e4ebb583b8058,https://open.spotify.com/search/You%27re%20On%20Your%20Own%2C%20Kid%20Taylor%20Swift,https://www.youtube.com/results?search_query=You%27re+On+Your+Own%2C+Kid+Taylor+Swift,https://www.youtube.com/watch?v=7Gbg6Z70J7E
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,1479264469,56,38,"1,891",1,,110,E,Major,74,51,74,2,0,29,4,https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084,https://open.spotify.com/search/Payphone%20Maroon%205%2C%20Wiz%20Khalifa,https://www.youtube.com/results?search_query=Payphone+Maroon+5%2C+Wiz+Khalifa,https://www.youtube.com/watch?v=KRaWnd3LJfs
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435,387,132,"2,094",0,,150,G,Major,34,33,63,16,0,7,4,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,https://open.spotify.com/search/All%20I%20Want%20for%20Christmas%20Is%20You%20Mariah%20Carey,https://www.youtube.com/results?search_query=All+I+Want+for+Christmas+Is+You+Mariah+Carey,https://www.youtube.com/watch?v=aAkMkVFwAoo
Last Christmas,Wham!,1,1984,1,1,22153,0,1159176109,274,111,"1,302",0,,107,B,Minor,74,88,65,28,0,46,3,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d,https://open.spotify.com/search/Last%20Christmas%20Wham%21,https://www.youtube.com/results?search_query=Last+Christmas+Wham%21,https://www.youtube.com/watch?v=E8gmARGvPlI
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,769213520,191,168,206,0,,140,G#,Major,70,85,41,71,0,45,5,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3,https://open.spotify.com/search/Rockin%27%20Around%20The%20Christmas%20Tree%20Brenda%20Lee,https://www.youtube.com/results?search_query=Rockin%27+Around+The+Christmas+Tree+Brenda+Lee,https://www.youtube.com/watch?v=TFsZy9t-qDc
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,741301563,165,99,104,0,,119,D,Major,74,78,37,84,0,6,3,https://i.scdn.co/image/ab67616d0000b273fd56f3c7a294f5cfe51c7b17,https://open.spotify.com/search/Jingle%20Bell%20Rock%20Bobby%20Helms,https://www.youtube.com/results?search_query=Jingle+Bell+Rock+Bobby+Helms,https://www.youtube.com/watch?v=nIhs1T7OcZg
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,834129063,231,106,439,0,,133,G,Major,46,53,63,5,0,30,18,https://i.scdn.co/image/ab67616d0000b273fb704b7e832b40f08c14629c,https://open.spotify.com/search/Santa%20Tell%20Me%20Ariana%20Grande,https://www.youtube.com/results?search_query=Santa+Tell+Me+Ariana+Grande,https://www.youtube.com/watch?v=nlR0MkrRklg
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,663832097,182,107,160,0,1,202,G,Major,24,76,60,77,0,12,4,https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356,https://open.spotify.com/search/It%27s%20the%20Most%20Wonderful%20Time%20of%20the%20Year%20Andy%20Williams,https://www.youtube.com/results?search_query=It%27s+the+Most+Wonderful+Time+of+the+Year+Andy+Williams,https://www.youtube.com/watch?v=AN_R4pR1hck
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129,88,1,277,0,0,134,C#,Major,45,72,24,91,0,18,4,https://i.scdn.co/image/ab67616d0000b273e359bd02a639a4d01b8241ae,https://open.spotify.com/search/Let%20It%20Snow%21%20Let%20It%20Snow%21%20Let%20It%20Snow%21%20Dean%20Martin,https://www.youtube.com/results?search_query=Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21+Dean+Martin,https://www.youtube.com/watch?v=Rnil5LyK_B0
Snowman,Sia,1,2017,1,1,5140,0,690104769,85,110,500,0,,105,C#,Major,72,33,51,48,0,9,3,https://i.scdn.co/image/ab67616d0000b273d1410c1372fab1e516328fa8,https://open.spotify.com/search/Snowman%20Sia,https://www.youtube.com/results?search_query=Snowman+Sia,https://www.youtube.com/watch?v=gset79KMmt0
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,485285717,144,99,251,0,0,160,G#,Major,51,69,81,0,0,21,5,https://i.scdn.co/image/ab67616d0000b273f54a315f1d2445791fe601a7,https://open.spotify.com/search/Underneath%20the%20Tree%20Kelly%20Clarkson,https://www.youtube.com/results?search_query=Underneath+the+Tree+Kelly+Clarkson,https://www.youtube.com/watch?v=EM2Fnp_qnE8
Mistletoe,Justin Bieber,1,2011,1,1,9577,0,629173063,195,111,310,0,0,162,F#,Minor,67,88,54,51,0,9,4,https://i.scdn.co/image/ab67616d0000b273490aa128e07cd31504ae8f86,https://open.spotify.com/search/Mistletoe%20Justin%20Bieber,https://www.youtube.com/results?search_query=Mistletoe+Justin+Bieber,https://www.youtube.com/watch?v=LUjn3RpkcKY
Sleigh Ride,The Ronettes,1,1963,11,22,10114,0,404664135,114,74,262,0,0,92,D,Major,53,84,77,40,0,32,3,https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4,https://open.spotify.com/search/Sleigh%20Ride%20The%20Ronettes,https://www.youtube.com/results?search_query=Sleigh+Ride+The+Ronettes,https://www.youtube.com/watch?v=DkXIJe8CaIc
