track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,spotify_search_link,youtube_search_url,youtube_url
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://open.spotify.com/search/Anti-Hero%20Taylor%20Swift,https://www.youtube.com/results?search_query=Anti-Hero+Taylor+Swift,https://www.youtube.com/watch?v=b1kbLwvqugk
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,https://open.spotify.com/search/Blank%20Space%20Taylor%20Swift,https://www.youtube.com/results?search_query=Blank+Space+Taylor+Swift,https://www.youtube.com/watch?v=e-ORhEE9VVg
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,https://open.spotify.com/search/Style%20Taylor%20Swift,https://www.youtube.com/results?search_query=Style+Taylor+Swift,https://www.youtube.com/watch?v=-CmadmM5cOk
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,https://open.spotify.com/search/Sunflower%20-%20Spider-Man%3A%20Into%20the%20Spider-Verse%20Post%20Malone%2C%20Swae%20Lee,https://www.youtube.com/results?search_query=Sunflower+-+Spider-Man%3A+Into+the+Spider-Verse+Post+Malone%2C+Swae+Lee,https://www.youtube.com/watch?v=ApXoWvfEYVU
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,https://open.spotify.com/search/I%27m%20Good%20%28Blue%29%20Bebe%20Rexha%2C%20David%20Guetta,https://www.youtube.com/results?search_query=I%27m+Good+%28Blue%29+Bebe+Rexha%2C+David+Guetta,https://www.youtube.com/watch?v=90RLzVUuXe4
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,https://open.spotify.com/search/See%20You%20Again%20Tyler%2C%20The%20Creator%2C%20Kali%20Uchis,https://www.youtube.com/results?search_query=See+You+Again+Tyler%2C+The+Creator%2C+Kali+Uchis,https://www.youtube.com/watch?v=TGgcC5xg9YI
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,https://open.spotify.com/search/Barbie%20World%20%28with%20Aqua%29%20%5BFrom%20Barbie%20The%20Album%5D%20Nicki%20Minaj%2C%20Aqua%2C%20Ice%20Spice,https://www.youtube.com/results?search_query=Barbie+World+%28with+Aqua%29+%5BFrom+Barbie+The+Album%5D+Nicki+Minaj%2C+Aqua%2C+Ice+Spice,https://www.youtube.com/watch?v=CUj2AWEJnwQ
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,https://open.spotify.com/search/Angels%20Like%20You%20Miley%20Cyrus,https://www.youtube.com/results?search_query=Angels+Like+You+Miley+Cyrus,https://www.youtube.com/watch?v=Y0ORhLyJWuc
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,https://open.spotify.com/search/I%20Ain%27t%20Worried%20OneRepublic,https://www.youtube.com/results?search_query=I+Ain%27t+Worried+OneRepublic,https://www.youtube.com/watch?v=mNEUkkoUoIA
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,https://open.spotify.com/search/Die%20For%20You%20The%20Weeknd,https://www.youtube.com/results?search_query=Die+For+You+The+Weeknd,https://www.youtube.com/watch?v=YQ-qToZUybM
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,https://open.spotify.com/search/Starboy%20The%20Weeknd%2C%20Daft%20Punk,https://www.youtube.com/results?search_query=Starboy+The+Weeknd%2C+Daft+Punk,https://www.youtube.com/watch?v=34Na4j8AVgA
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,https://i.scdn.co/image/ab67616d0000b2738b5a9e7c56f01bec356de9d5,https://open.spotify.com/search/Die%20For%20You%20-%20Remix%20Ariana%20Grande%2C%20The%20Weeknd,https://www.youtube.com/results?search_query=Die+For+You+-+Remix+Ariana+Grande%2C+The+Weeknd,https://www.youtube.com/watch?v=YQ-qToZUybM
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,https://open.spotify.com/search/Baby%20Don%27t%20Hurt%20Me%20David%20Guetta%2C%20Anne-Marie%2C%20Coi%20Leray,https://www.youtube.com/results?search_query=Baby+Don%27t+Hurt+Me+David+Guetta%2C+Anne-Marie%2C+Coi+Leray,https://www.youtube.com/watch?v=k3DBmAlUh1A
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,https://open.spotify.com/search/%28It%20Goes%20Like%29%20Nanana%20-%20Edit%20Peggy%20Gou,https://www.youtube.com/results?search_query=%28It+Goes+Like%29+Nanana+-+Edit+Peggy+Gou,https://www.youtube.com/watch?v=sCz5y84dwuA
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,https://open.spotify.com/search/Another%20Love%20Tom%20Odell,https://www.youtube.com/results?search_query=Another+Love+Tom+Odell,https://www.youtube.com/watch?v=MwpMEbgC7DA
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding+Lights+The+Weeknd,https://www.youtube.com/watch?v=fHI8X4OXluQ
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,https://open.spotify.com/search/Moonlight%20Kali%20Uchis,https://www.youtube.com/results?search_query=Moonlight+Kali+Uchis,https://www.youtube.com/watch?v=8F7Q-4PZCjA
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,https://open.spotify.com/search/cardigan%20Taylor%20Swift,https://www.youtube.com/results?search_query=cardigan+Taylor+Swift,https://www.youtube.com/watch?v=K-a8s8OLBSE
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,https://open.spotify.com/search/Boy%27s%20a%20liar%20Pt.%202%20PinkPantheress%2C%20Ice%20Spice,https://www.youtube.com/results?search_query=Boy%27s+a+liar+Pt.+2+PinkPantheress%2C+Ice+Spice,https://www.youtube.com/watch?v=oftolPu9qp4
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,https://open.spotify.com/search/Left%20and%20Right%20%28Feat.%20Jung%20Kook%20of%20BTS%29%20Charlie%20Puth%2C%20BTS%2C%20Jung%20Kook,https://www.youtube.com/results?search_query=Left+and+Right+%28Feat.+Jung+Kook+of+BTS%29+Charlie+Puth%2C+BTS%2C+Jung+Kook,https://www.youtube.com/watch?v=a7GITgqwDVg
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,https://open.spotify.com/search/Hey%20Mor%20Ozuna%2C%20Feid,https://www.youtube.com/results?search_query=Hey+Mor+Ozuna%2C+Feid,https://www.youtube.com/watch?v=u8jb8z3zUJM
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,https://open.spotify.com/search/Yellow%20Chris%20Molitor,https://www.youtube.com/results?search_query=Yellow+Chris+Molitor,https://www.youtube.com/watch?v=8kNA1IvjTGA
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://open.spotify.com/search/Karma%20Taylor%20Swift,https://www.youtube.com/results?search_query=Karma+Taylor+Swift,https://www.youtube.com/watch?v=XzOvgu3GPwY
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,https://open.spotify.com/search/People%20Libianca,https://www.youtube.com/results?search_query=People+Libianca,https://www.youtube.com/watch?v=rJWdfDPZ9Ck
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,https://open.spotify.com/search/Overdrive%20Post%20Malone,https://www.youtube.com/results?search_query=Overdrive+Post+Malone,https://www.youtube.com/watch?v=hggjZ-FGGkw
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,https://open.spotify.com/search/Enchanted%20%28Taylor%27s%20Version%29%20Taylor%20Swift,https://www.youtube.com/results?search_query=Enchanted+%28Taylor%27s+Version%29+Taylor+Swift,https://www.youtube.com/watch?v=igIfiqqVHtA
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,https://open.spotify.com/search/BABY%20HELLO%20Rauw%20Alejandro%2C%20Bizarrap,https://www.youtube.com/results?search_query=BABY+HELLO+Rauw+Alejandro%2C+Bizarrap,https://www.youtube.com/watch?v=-WevdSfpw-Q
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,https://open.spotify.com/search/Heat%20Waves%20Glass%20Animals,https://www.youtube.com/results?search_query=Heat+Waves+Glass+Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,https://open.spotify.com/search/golden%20hour%20JVKE,https://www.youtube.com/results?search_query=golden+hour+JVKE,https://www.youtube.com/watch?v=PEM0Vs8jf1w
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://open.spotify.com/search/Sweater%20Weather%20The%20Neighbourhood,https://www.youtube.com/results?search_query=Sweater+Weather+The+Neighbourhood,https://www.youtube.com/watch?v=GCdwKhTtNNw
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,https://open.spotify.com/search/Viva%20La%20Vida%20Coldplay,https://www.youtube.com/results?search_query=Viva+La+Vida+Coldplay,https://www.youtube.com/watch?v=dvgZkm1xWPE
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,https://open.spotify.com/search/Here%20With%20Me%20d4vd,https://www.youtube.com/results?search_query=Here+With+Me+d4vd,https://www.youtube.com/watch?v=Ip6cw8gfHHI
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,https://open.spotify.com/search/Unholy%20%28feat.%20Kim%20Petras%29%20Sam%20Smith%2C%20Kim%20Petras,https://www.youtube.com/results?search_query=Unholy+%28feat.+Kim+Petras%29+Sam+Smith%2C+Kim+Petras,https://www.youtube.com/watch?v=Uq9gPaIzbe8
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,https://open.spotify.com/search/Yandel%20150%20Yandel%2C%20Feid,https://www.youtube.com/results?search_query=Yandel+150+Yandel%2C+Feid,https://www.youtube.com/watch?v=WHejvUhX6rk
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,https://open.spotify.com/search/Riptide%20Vance%20Joy,https://www.youtube.com/results?search_query=Riptide+Vance+Joy,https://www.youtube.com/watch?v=lYoWuaw5nSk
